Article,Title,Description,URL,Content,Published,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags,publisher
47,Three things people in Finland—the "happiest country in the world"—never do,"According to the World Happiness Report, Finland is the ""happiest country in the world"" based on responses to a number of global Gallup polls. And Finland has held the top spot for several years. Frank Martela, a psychology researcher at Finland's Aalto Unive…",https://boingboing.net/2023/01/06/three-things-people-in-finland-the-happiest-country-in-the-world-apparently-never-do.html,According to the World Happiness Report Finland is the happiest country in the world based on responses to a number of global Gallup polls. And Finland has held the top spot for several years. Frank Martela a psychology researcher at Finlands Aalto University and author of A Wonderful Life thinks he knows why. His claim is that to maintain a high quality of life there are three things people in Finland never do. Never is a very long time and Im generally skeptical of societalscale generalizations but Martelas list does highlight several common habits that are undoubtedly worth breaking. From CNBC 1. We dont compare ourselves to our neighbors. Theres a famous line by a Finnish poet Kell onni on se onnen ktkekn. Roughly translated it means Dont compare or brag about your happiness. 2. We dont overlook the benefits of nature. According to a 2021 survey 87 of Finns feel that nature is important to them because it provides them with peace of mind energy and relaxation 3. We dont break the community circle of trust. Research shows that the higher the levels of trust within a country the happier its citizens are.,2023-01-07T00:32:15Z,Major media want to know who guaranteed Sam Bankman-Fried's $250 million bond,Extremely Negative,650,"overstated, stigma, scandal, harassed, threats, collapse, concern, suffer, guilty, hedge, Fried","criminal, sex, crimes, crimes, sex, criminal, criminal","Sam, BankmanFrieds, Sam, BankmanFrieds, Lewis, Kaplan, Ghislaine, Maxwell, Jeffrey, Epsteins, BankmanFried, Jeffrey, Epstein, Mark, Cohen, Christian, Everdell, Cohen, Everdell, Joseph, Bankman, Barbara, Fried, Bankman",theguardian
48,‘Maybe we cried too much’: Walgreens hints it exaggerated shoplifting surge,"Financial chief James Kehoe admits company may have overstated purported problem, which prompted rightwing outrage over crimeA major US drugstore chain that supposedly experienced a surge in shoplifting last year – fanning the flames of conservative outrage o…",https://www.theguardian.com/us-news/2023/jan/06/walgreens-shoplifting-surge-chief-financial-officer,A major US drugstore chain that supposedly experienced a surge in shoplifting last year fanning the flames of conservative outrage over a purported spike in crime and disorder said on Thursday that it might have overstated the problem. Walgreens chief financial officer James Kehoe said during an earnings call that shrinkage the difference between a balancesheet inventory and actual stock had returned to lower levels after a brief rise. Retail shrinkage is largely due to theft though some is also due to accidental damage or loss. Maybe we cried too much last year when we were hitting numbers that were 3. 5 of sales Kehoe said according to an earnings call transcript. Were down in the lower twos call it the mid2. 5 2. 6 kind of range now. Conservative politicians and commentators have invoked a purported spree of shoplifting part of an effort to cast Democratic officials and reformminded prosecutors as soft on crime. Walgreens added fuel to the fire last year when it said it was closing several of its San Francisco stores due to retail theft that could not be stopped despite security investments. The company hired private security at some stores and at least one outlet put ice cream under lock and key. Those approaches were excessive Kehoe admitted on Thursday. Weve put in incremental security in the stores in the first quarter actually probably we put in too much and we might step back a little bit from that he said. The chain part of the Walgreens Boots alliance would shift more toward relying on law enforcement rather than private security companies as the security companies are proven to be largely ineffective Kehoe said. Other retailers have recently stuck by their contention that theft of some kinds is up. Walmart claimed it was struggling with an increase in shoplifting and warned of consequences such as increased costs and potential store closures. Theft is an issue. Its higher than what it has historically been the company chief executive Doug McMillon told CNBC. However McMillon said that this has largely stemmed from organized retail theft rather than oneoff shoplifting. While shoplifting might not have hurt Walgreens bottom line as much as it once thought the company said it suffered a 3. 7bn loss in its first quarter partly relating to litigation over the US opioid epidemic which has killed hundreds of thousands of Americans in the last decade. Walgreens reached an opioidrelated settlement with state and local governments last quarter to pay 5. 7bn over 15 years.,2023-01-06T17:38:06Z,Three things people in Finland—the "happiest country in the world"—never do,Extremely Positive,30,"skeptical, breaking, overlook, break",-,"Frank, Martela, Martelas, Kell, onni",-
49,Musk's failure to identify the most significant factor impacting Tesla's stock price spells continued doom (it's him),"Elon Musk blames the economy, interest rates, and who knows what, but it is not his antics bringing down Tesla's stock price. Musk's apparent dedication to his new pony, Twitter, and absence as CEO at Tesla, matched with the shocking decisions and decision-ma…",https://boingboing.net/2022/12/21/musks-failure-to-identify-the-most-significant-factor-impacting-teslas-stock-price-spells-continued-doom-its-him.html,Elon Musk blames the economy interest rates and who knows what but it is not his antics bringing down Teslas stock price. Musks apparent dedication to his new pony Twitter and absence as CEO at Tesla matched with the shocking decisions and decisionmaking skills Musk has evidenced of late have called into question the Chiefs Twits qualification to be TechnoKing of Tesla. Tesla also has a shockingly high PE ratio compared to other car makers. On Wednesday Musk responded to a tweet suggesting he wont even entertain the idea that his behavior impacts the stock price. Maybe so in which case buying opportunity Musk replied on Twitter. I keep saying that Fed rate is insane because data Im seeing says were already in deflation. If True then real rate of return of Tbills is roughly that of SP500. Very smart investor I spoke to today said hes shorting SP,2022-12-21T18:54:31Z,‘Maybe we cried too much’: Walgreens hints it exaggerated shoplifting surge,Extremely Negative,870,"outrage, disorder, overstated, problem, accidental, damage, loss, excessive, ineffective, stuck, contention, struggling, warned, issue, hurt, suffered, loss, epidemic","conservative, crime, Conservative, crime, fire, killed","harassment, James, Kehoe, lawsuit, Kehoe, lawsuit, Kehoe, lawsuit, lawsuit, Doug, McMillon, lawsuit",businessinsider
50,Trump thinks Elon Musk's poll about his future as the CEO of Twitter was a good exit strategy: 'I think that's a good way of stepping down',"""I think he wanted to step down. I think that's a good way of stepping down, you know, just losing a poll and saying: 'I'm outta here,'"" Trump said.",https://www.businessinsider.com/trump-elon-musks-twitter-poll-good-exit-strategy-2022-12,Trump thinks Elon Musks poll about his future as the CEO of Twitter was a good exit strategy I think thats a good way of stepping down Donald Trump thinks Elon Musk knew he would lose the poll on whether he should remain the CEO of Twitter. I think he wanted to step down Trump told One America News. Former President Donald Trump thinks Elon Musk polled people about whether he should remain the CEO of Twitter knowing he would lose. I think he wanted to step down. I think thats a good way of stepping down you know just losing a poll and saying Im outta here Trump said of Musk during an appearance on One America News on Tuesday. Trump was referring to the poll Musk posted on Twitter on Sunday where 57. 5 of over 17. 5 million people voted for him to step down as the CEO of Twitter. On Tuesday Musk tweeted that hell step down as Twitter CEO when he finds someone foolish enough to replace him. When asked on One America News if he had any advice for Musk Trump said Musk needs a replacement who wears a lot of different hats. Thats not an easy thing to find in that world you need technology you need politics. You need sort of everything Trump said. And you have to have business sense a good business sense. So its going to be interesting to see who that is. Trump also lauded Musk for releasing the Twitter Files which showed thenpresidential candidate Joe Bidens campaign asking Twitter in 2020 to remove tweets including nude photos and videos about Bidens son Hunter Biden. Its a very important part of his legacy Ill tell you that Trump said of the Twitter Files calling them more important than anything else Musk has done. Id say hes a hero Trump added. Trump and Musk have had a rocky relationship over the years. Before the 2016 election Musk told CNBC Trump shouldnt be president. In December 2016 Musk was appointed to two economic advisory councils under the Trump administration. Musk left the posts on June 2 2017 when Trump said the US would pull out of the Paris Agreement on climate change. The two started to feud openly in 2022. In July Trump called Musk a bullshit artist and accused him of lying about his voting history. After Trumps comments Musk tweeted that it might be time for Trump to give up on being president again. I dont hate the man but its time for Trump to hang up his hat sail into the sunset Musk tweeted on July 11. Dems should also call off the attack dont make it so that Trumps only way to survive is to regain the Presidency. In November Musk reinstated Trumps Twitter account. Trump has not tweeted from his reinstated account sticking instead to posting from his own platform Truth Social. Representatives for Trump and Musk did not immediately respond to Insiders requests for comment. Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company The average ChickfilA franchise exceeds 8 million in sales and has one of the lowest fastfood franchise startup fee heres how to open one Chinas government is buying Alibaba and Tencent shares that give the Communist Party special rights over certain business decisions report says Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD,2022-12-21T04:36:03Z,Musk's failure to identify the most significant factor impacting Tesla's stock price spells continued doom (it's him),Extremely Negative,230,"absence, shocking, shockingly, insane",-,"Elon, Musk, Musk, Musk, Musk",businessinsider
51,Wharton professor Jeremy Siegel channels Warren Buffett in explaining the problem behind Tesla's epic stock price decline,The philosophies of two market gurus have collided as Jeremy Siegel weighs in on the ongoing Tesla stock crash.,https://markets.businessinsider.com/news/stocks/jeremy-siegel-warren-buffett-tesla-stock-price-crash-elon-musk-2023-1,Jeremy Siegel used a quote from Warren Buffett to explain the problem behind Teslas epic stock price decline. Its far better to buy a wonderful company at a fair price than a fair company at a wonderful price Buffett once said. The problem with Tesla was always the price and I think thats the bottom line Siegel said. Teslas epic stock price decline has been jarring to many investors but not Wharton professor Jeremy Siegel who channeled Warren Buffett in explaining the problem behind the stock. Tesla stock has erased just over 900 billion in market value over the past year with the stock price falling more than 70 from its record high. The decline accelerated in recent months after CEO Elon Musk acquired Twitter for 44 billion. What might be confusing to some investors is the fact that as Tesla continues to decline with the stock price down another 13 on Tuesday the underlying business continues to grow at a fast clip. Tesla announced fourthquarter deliveries of just over 405000 on Monday falling short of Wall Street forecasts but representing yearoveryear growth of 31. For the fullyear the company delivered just over 1. 3 million vehicles representing yearoveryear growth of 40. But none of that matters according to a Friday CNBC interview with Siegel. Warren Buffett said fall in love with the price of a stock. Dont fall in love with the company Siegel said. The full Buffett quote Siegel may be referring to is Its far better to buy a wonderful company at a fair price than a fair company at a wonderful price. The problem with Tesla was always the price and I think thats the bottom line Siegel said. When Siegel says price he is referring to Teslas valuation which has been skyhigh since it started producing profits in 2021. According to data from YCharts Tesla currently trades at a forward pricetoearnings ratio of about 25x which is its lowest level ever. For much of 2022 Tesla traded at a valuation multiple of more than 60x and it peaked at over 180x in late 2021. Im old enough to remember when everyone fell in love with Polaroid in 1975 and sent it up to 95 times earnings Siegel said. Polaroid was a nifty fifty stock a term attributed to a group of largecap blue chip US stocks that were seen by investors as immune to broader market woes in the 1960s and early 1970s. The fervor for these stocks sent their valuations to ranges so high that some never revisited those levels ever again like Polaroid. Well I dont think Tesla is going to have the same fate as Polaroid but every stock that was sent up over 50 times earnings performed extremely poorly in the future. Its the price its not the company that causes investors problems Siegel said.,2023-01-03T18:39:45Z,Trump thinks Elon Musk's poll about his future as the CEO of Twitter was a good exit strategy: 'I think that's a good way of stepping down',Generally Neutral,280,"lose, lose, losing, foolish, rocky, lying, hate, hang, falls","hell, nude, bullshit, Communist","Trump, Elon, Musks, Donald, Trump, Elon, Musk, Trump, Donald, Trump, Elon, Musk, Trump, Musk, Trump, Musk, Musk, Musk, Trump, Musk, Trump, Trump, Musk, Joe, Bidens, Bidens, Hunter, Biden, Trump, Musk, Trump, Trump, Musk, Musk, Trump, Musk, Trump, Musk, Trump, Trump, Musk, Trumps, Musk, Trump, Trump, Musk, Trumps, Musk, Trumps, Trump, Trump, Musk, Jack, Ma",businessinsider
52,"The Fed isn't going to make things easy for the market and stocks still have at least another 7% to fall, JPMorgan's chief equities strategist says","Stocks haven't bottomed yet and could retest lows from 2022, according to JPMorgan's chief stock strategist Dubravko Lakos.",https://markets.businessinsider.com/news/stocks/stock-market-outlook-fall-recession-inflation-earnings-fed-rate-hikes-2023-1,Stocks still have at least 7 more to fall before hitting a bottom according to JPMorgans chief stock strategist Dubravko Lakos. He told CNBC that earnings estimates for 2023 are still too high and the Fed would likely stay restrictive on monetary policy. I dont think the Fed is going to make it easy for the market. They will probably stay restrictive too long too long Lakos warned. The Federal Reserve isnt going to make things easy for the market and stocks still have at least 7 more to fall before hitting a bottom according to JPMorgans chief equities strategist Dubravko Lakos. In an interview with CNBC on Wednesday he warned that expectations for corporate earnings are still too high as the 10 largest companies in the SP 500 are seen reporting a 10 increase in earnings this year. We think that in the first part of the year we still continue to face a pretty fair deal of headwind on the earnings side Lakos said pointing to the disinflation in goods prices but sticky inflation in wages. I think thats a pretty bad combination for profit margins. He predicted the SP 500 will dip at least to 3600 representing a 7 decline from current levels particularly since central bankers are expected to keep interest rates restrictive. The Fed hiked interest rates by 425 basis points last year to rein in inflation leading the SP 500 to sink 20 for its worst losses since 2008. Fed officials have signaled theyll keep rates high throughout 2023 which could tip the economy into a recession and spell nearterm trouble for equities I dont think the Fed is going to make it easy for the market. They will probably stay restrictive too long too long. Thats going to continue to result in a flush Lakos warned. He pointed to the trillions of dollars wiped out of the crypto market and the 700 billion valuation dent in Tesla a sign that retail traders are panicking. Economists have also warned that the Fed wont dial back rate hikes to buoy stocks as that risks stagflation a scenario where inflation expectations become entrenched in the economy. That could slam the economy with high unemployment low growth and high prices which could do more serious damage than a recession according to top economist Mohamed ElErian. Meanwhile Morgan Stanley Bank of America and Deutsche Bank have predicted the SP 500 will drop around 20 early this year as an earnings recession grips the market.,2023-01-04T18:59:10Z,Wharton professor Jeremy Siegel channels Warren Buffett in explaining the problem behind Tesla's epic stock price decline,Somewhat Positive,160,"problem, decline, problem, decline, jarring, problem, falling, decline, confusing, decline, falling, fall, fall, problem, fell, poorly, problems",-,"Jeremy, Siegel, Warren, Buffett, Buffett, Siegel, Jeremy, Siegel, Warren, Buffett, Elon, Musk, Siegel, Warren, Buffett, Buffett, Siegel, Siegel, Siegel, Siegel, Siegel",insiderintelligence
53,Travel credit cardholders may have a harder time redeeming rewards this year,Airlines and card issuers are raising redemption thresholds on loyalty perks as travel demand roars back.,https://www.insiderintelligence.com/content/travel-credit-cardholders-may-have-harder-time-redeeming-rewards-this-year,The news Airlines and card issuers are raising redemption thresholds on travel perks to maintain a sense of exclusivity for things like airport lounge access and elite status for loyalty programs per CNBC. American Express will charge Platinum cardholders 50 for each guest they bring to Centurion airport lounges starting next month. Previously cardholders could bring two guests for free. American Airlines Delta Air Lines and United Airlines are increasing the spending requirements for some of their elite frequent flier tiers. Why the change A surge in travel demand combined with pandemicera policy changes has led to busier airport lounges and maxedout capacity for premium airplane seats. Airline executives are worried that this will ruin the appeal of their premium loyalty program benefits which were once harder to earn Delta is making policy changes because if everyones special no one feels special CEO Ed Bastian said. How we got here Many airlines lowered the requirements for elite travel perks in late 2020 to encourage spending. American Airlines for example waived the airfare spending requirements needed to achieve elite status in its AAdvantage loyalty program if customers spent at least 30000 on eligible AAdvantage credit cards which are issued by Citi. These types of promotions helped boost business for airlines and their issuing partners. But now that travel demand has come roaring back some airlines want to retire those changes to preserve an air of exclusivity for their loyalty programsand potentially to cut costs. Why its worth watching Some of the policy changes coming down the pike could risk alienating cardholders. That could have consequences for the large amount of money many airlines sweep in each year through cobrand card deals with issuers Delta expects its nonticket revenueswhich includes its partnership with Amexto account for 57 of overall sales in 2023. Many consumers with travelfocused credit cards hoarded points throughout the pandemic and are now using them to book travel. But it may become harderor at least more expensiveto redeem points toward indemand travel as airlines and issuers pivot their loyalty strategies. Twentynine percent of US adults said transferring rewards to loyalty programs was extremely valuable according to our US Premium Travel Credit Card Emerging Features Benchmark 2022. Twentyone percent said the same for paypervisit access to airport lounges To make up for those changes issuers may compensate with nontravel perks.,2023-01-10T15:27:52Z,"The Fed isn't going to make things easy for the market and stocks still have at least another 7% to fall, JPMorgan's chief equities strategist says",Somewhat Negative,330,"fall, restrictive, restrictive, warned, fall, warned, sticky, bad, decline, restrictive, sink, worst, losses, recession, trouble, restrictive, warned, dent, panicking, warned, risks, damage, recession, recession",-,"Dubravko, Lakos, Lakos, Dubravko, Lakos, Lakos, Lakos, Mohamed, ElErian",businessinsider
54,"Legendary investor Bill Miller says he's shorting Tesla because the EV maker has a looming competition problem: 'If it goes up, I'll short more'","""The difference between Tesla and other technology stocks is it's selling into a bad business. The auto industry globally is a bad business.""",https://markets.businessinsider.com/news/stocks/tesla-tsla-stock-price-bill-miller-short-competition-problem-valuation-2023-1,Legendary value investor Bill Miller is shorting Tesla because of stiff automarket competition. Miller told CNBC on Friday that Tesla is starting to lose market share as more electric vehicles hit the road. Its a phenomenal company but its not worth 380 billion. I shorted it recently Miller said. Legendary value investor Bill Miller said he is shorting Tesla stock due to the growing threat of competition. I think Tesla has been a phenomenal company. I think Elon Musk is a genius Miller admitted in an interview with CNBC on Friday before highlighting the fact that Teslas current valuation makes it seven time the size of General Motors 50 billion market cap. The main driver behind Millers short Tesla thesis is the fact that while the company owned the entire electric vehicle market for more than a decade thats no longer the case. All the major automakers are pivoting to electric vehicles and Tesla is starting to lose ground to them according to Miller. Tesla is now losing market share. Theyre cutting price. BYD is introducing a luxury car over in China. Its a phenomenal company but its not worth 380 billion in my opinion... I just dont think its worth more than the top five automakers in the world combined. And all of them are coming with electric vehicles Miller said. Aside from competition Millers bearish argument on Tesla also boils down to the ongoing debate between bulls and bears is Tesla a tech company or a car company According to Miller its a car company. And because its a car company its valuation is way too high. I think Tesla is too expensive. Tesla is much more profitable than the current auto companies. It has a lot of free cash flow. The earnings multiple if you consider it a tech stock is not out of whack certainly with its dominance in electric vehicles Miller said. But theres one big difference between Tesla and other tech stocks and thats the fact that the car business is not an attractive industry to realize outsized returns for investors. The difference between Tesla and other technology stocks is its selling into a bad business. The auto industry globally is a bad business. It has too much capacity and they earn low returns on capital. With Tesla its fighting a bad tide on that one Miller said. I shorted it recently. I shorted more today. If it goes up Ill short more Miller said. Shares of Tesla jumped 8 on Monday amid a move higher in the broader markets.,2023-01-09T18:06:56Z,Travel credit cardholders may have a harder time redeeming rewards this year,Generally Neutral,20,"worried, ruin, risk",-,"Ed, Bastian",businessinsider
55,"Elon Musk could take SpaceX's Starlink business public in 2023 to 'give him a ton of more dry powder,' Chamath Palihapitiya says","A Starlink IPO this year would be much earlier than expected. In 2022, Elon Musk said a public offering was at least three to four years away.",https://markets.businessinsider.com/news/stocks/elon-musk-spacex-starlink-ipo-spac-blank-check-chamath-palihapitiya-2023-1,Chamath Palihapitiya thinks Elon Musk could take SpaceXs Starlink satelliteinternet business public this year. Hes going to create breathing room for himself. This is the simplest and most obvious way for him to do it the socalled SPAC King said on a podcast. A Starlink IPO this year would be much earlier than expected. In 2022 Musk said a public offering was at least three to four years away. Elon Musk could take SpaceXs Starlink satelliteinternet business public this year according to Chamath Palihapitiya. In a recent episode of his AllIn podcast the socalled SPAC King said a Starlink IPO would be an obvious outcome in 2023. Musk talked about this on our pod about the difficulties and the dangers of margin loans and all of that stuff Palihapitiya said according to Bloomberg. Hes going to create breathing room for himself. This is the simplest and most obvious way for him to do it. Itll give him a ton of more dry powder. A Starlink IPO this year would be much earlier than expected. In 2022 Musk discussed the possibility of taking Starlink public during an all hands meeting for parent company SpaceX and CNBC reported that he suggested a Starlink IPO was three to four years down the line. Palihapitiya didnt provide any specific details that would explain why or when Musk could offer a Starlink IPO and he isnt especially close to Musk to be privy to such a plan. But he was involved in taking Virgin Galactic public and invested in space startup Relativity while his podcast cohosts Jason Calacanis and David Sacks were involved in Musks Twitter takeover Bloomberg said. Palihapitiya is known for taking startup firms public through special purpose acquisition companies also known as blank check companies that serve as an alternative to a traditional initial public offering. SPACs were an investor favorite for a large part of 2020 but have since floundered as markets continue to tumble on growing recession fears. Starlink which provides internet services via thousands of satellites gained more prominence last year in the wake of Russias invasion of Ukraine. SpaceX provided Kyiv with Starlink access to help the military coordinate its defenses against Russia while also providing the civilian population with continued internet service. Musk raised doubts about the future of Starlinks contributions to Ukraines defense effort when the company said in October it could no longer afford to continue donating access and wanted the Pentagon to pay for the service. But he has since backtracked while Kyiv said in November that it will seek assistance from allies to pay for Starlink service.,2023-01-09T14:16:11Z,"Legendary investor Bill Miller says he's shorting Tesla because the EV maker has a looming competition problem: 'If it goes up, I'll short more'",Somewhat Negative,190,"stiff, lose, threat, lose, losing, bearish, expensive, bad, bad, bad",-,"Bill, Miller, Miller, Miller, Bill, Miller, Elon, Musk, Miller, Miller",businessinsider
56,"Tesla stock has more downside ahead and investors can expect a 25% drop in earnings in the coming quarter amid price cuts, Loup's Gene Munster says","Tesla investors can expect a 25% cut to the company's earnings in the following quarter, according to Loup's Gene Munster.",https://markets.businessinsider.com/news/stocks/tesla-stock-gene-munster-downside-earnings-cut-elon-musk-fall-2023-1,Tesla stock has more downside and investors could see a 25 drop in future earnings Loups Gene Munster said. Munster is bullish longterm and he believes shares are undervalued after a brutal 2022 selloff. I remain positive on this company. I think ultimately there are a few good reasons to own this in 2023 he told CNBC. Tesla stock has more downside ahead and investors should brace for as much as a 25 drop in future earnings amid recent price cuts according to Loup Ventures Gene Munster. I am a longterm believer in Tesla. I think that the shares are undervalued. Nearterm I would be cautious. I think that theres going to be some earnings pressure based on some of the discounting that has happened Munster said in an interview on CNBC on Tuesday. That comes shortly after Tesla announced it had missed its production and delivery targets in the fourth quarter causing shares to fall another 4 in early January. Shares of the car maker had a historically bad year in 2022 amid a wider selloff in high growth stocks and investors growing concern over Elon Musks focus on Twitter which he acquired in October. The companys stock shed 700 billion in market value last year. Last week the company slashed its prices in China by around 13. Munster told investors to expect a 25 cut to Teslas earnings in March as he expected more earnings discounts to come. That echoes the view of other Tesla analysts who have warned that the stock likely wont rebound until at least after it releases its fourth quarter earnings at the end of this month. There is this bias when a stock is down as much as Tesla just to want to own it Munster said. We want to own it in our funds. We dont own it yet because we want to optimize that opportunity. Munster has been particularly critical of Musk as the CEO has damaged Teslas brand through his chaotic takeover of Twitter. Musk stepping down as Twitter CEO could be bullish for Tesla stock Munster previously said adding that he was bullish on the EV maker over the longterm. I remain positive on this company. I think ultimately there are a few good reasons to own this in 2023. But I think that we could see more pressure in the nearterm he warned.,2023-01-10T16:56:51Z,"Elon Musk could take SpaceX's Starlink business public in 2023 to 'give him a ton of more dry powder,' Chamath Palihapitiya says",Generally Neutral,90,"difficulties, tumble, recession, fears, doubts",Virgin,"Chamath, Palihapitiya, Elon, Musk, SPAC, King, Musk, Elon, Musk, Chamath, Palihapitiya, SPAC, King, Musk, Palihapitiya, Musk, Musk, Musk, Jason, Calacanis, David, Sacks, Musk",businessinsider
57,"Don't snap up stocks just yet – but stay alert as the Fed could soon spark a rally by wrapping up its rate-hiking campaign, a JPMorgan strategist says","""We think they're close to wrapping it up, thank goodness,"" JP Morgan Asset Management strategist Phil Camporeale said Wednesday.",https://markets.businessinsider.com/news/stocks/stock-market-rally-outlook-federal-reserve-pause-interest-rates-jpmorgan-2023-1,Investors shouldnt pile into stocks yet but should be ready to jump in a JPMorgan strategist said. He thinks the Fed could soon pause its ratehiking campaign which would lift US equity markets. We think theyre close to wrapping it up thank goodness Phil Camporeale told CNBC Wednesday. Investors shouldnt be buying US stocks yet but they should be on high alert for when the Federal Reserve wraps up its interest ratehiking campaign according to a strategist at JPMorgan Asset Management. Portfolio manager Phil Camporeale expects the US central bank to stop the monetary tightening soon given inflation is cooling towards the 2 target it wants to reach. The economy is at risk of slipping into a recession if the Fed presses ahead with outsized rate hikes much longer. Whats the benefit of them continuing to move so aggressively if the cost of those hikes puts undue uncertainty on the economy in a world where inflation is moving in the right direction Camporeale told CNBCs Closing Bell on Wednesday. We think theyre close to wrapping it up thank goodness he added. The Feds aggressive rate increases which saw the cost of borrowing rise from nearzero in March to the current level of around 4. 5 an addition of 450 basis points in total have weighed on stocks. Rising rates eat away at companies future cash flows which help make up their overall valuation. JPMorgan isnt telling investors to pile into stocks just yet the strategist said. It still gives US equities an underweight rating meaning it thinks they will offer lower returns than other assets like bonds. Thats because the impact of the Feds aggressive hiking cycle is still filtering through the stock market according to Camporeale. Plus the Fed sets its policy based on inflation data but experts such as Jeremy Siegel have said the official indicators lag the real amount of inflation in the economy by up to 18 months opening up the risk of mistakes. Were still underweight right now because the Fed last year did the quickest monetary tightening that they have ever done he said. Theyve moved by 450 before but theyve never done it that quickly. So there still remains uncertainty about what that lagdefective policy does he added. But the bank is readying itself for any potential Fedfueled rally by snapping up call options on some SP 500 stocks Camporeale said. Call options give investors the power to buy a stock at a certain price before a particular date. Right now were long some calls on the SP Camporeale told CNBC. Yes were underweight but were long calls that can get us back into the SP if that underweight is incorrect. Read more Watch the bond market and not the Fed for a steer on interest rates billionaire investor Jeff Gundlach says,2023-01-12T11:29:47Z,"Tesla stock has more downside ahead and investors can expect a 25% drop in earnings in the coming quarter amid price cuts, Loup's Gene Munster says",Somewhat Negative,220,"downside, brutal, downside, missed, fall, bad, concern, warned, bias, critical, damaged, chaotic, warned",-,"Gene, Munster, Munster, Gene, Munster, Munster, Elon, Musks, Munster, Munster, Munster, Musk, Musk, Munster",businessinsider
58,"Disney stock has plunged 45% this year, putting it on track for its worst performance in nearly 5 decades","The entertainment titan has been hit by pandemic disruptions, management issues, worries about its streaming losses, and the wider market downturn.",https://markets.businessinsider.com/news/stocks/disney-stock-price-decline-bob-iger-pandemic-inflation-recession-streaming-2022-12,Disney stock is down 45 this year and on track for its worst annual performance since 1974. The shares have been hit by pandemic disruptions management issues and the wider market downturn. The media giants shares are trading close to an eightyear low. Disney stock has plunged 45 this year leaving it poised to deliver its worst annual performance in nearly five decades as a profusion of challenges continues to bedevil the media giant. Shares of Disney closed almost 5 lower Monday after the longawaited Avatar The Way of Water had a disappointing opening weekend in movie theaters. They rallied as much as 2 on Tuesday. The stock is now trading at 2014 levels on a splitadjusted basis and remains on track for its largest yearly decline since 1974 according to CNBC. The painful selloff has erased about 200 billion from Disneys market capitalization since March 2021. Disneys business stretches from blockbuster movies to TV shows cable channels theme parks resorts cruises retail stores video games and streaming entertainment. Unsurprisingly it was hit hard by the travel restrictions production disruptions and closures of cinemas stores and entertainment venues seen during the COVID19 pandemic. While most of its operations have now reopened they havent fully recovered yet. One bright spot has been Disney Plus which has grown its paid subscribers from about 27 million at the end of 2019 to 164 million as of October 1. Yet investors have balked at the streaming services rising costs which fueled a hefty 1. 5 billion operating loss in Disneys streaming division last quarter. Disney stock has also been caught up in a wider market downturn. Inflation has surged to 40year highs this year spurring the Federal Reserve to hike interest rates from virtually zero in March to over 4 today in a bid to slow the pace of price increases. However rising prices and borrowing costs are squeezing consumers and businesses. Theyre also dragging down asset prices and fanning fears of a recession and slump in company earnings next year. The entertainment titan weathered some bad publicity during Bob Chapeks tenure as CEO. However Bob Iger who masterminded Disneys acquisitions of Marvel Pixar and Lucasfilm took back the companys reins in November sparking an uplift in its stock price and revitalizing investors hopes of a turnaround. Read more Bank of America Buy these 21 toprated stocks that have been oversold in 2022 and are poised for outsize moves in 2023,2022-12-20T13:28:15Z,"Don't snap up stocks just yet - but stay alert as the Fed could soon spark a rally by wrapping up its rate-hiking campaign, a JPMorgan strategist says",Somewhat Positive,80,"risk, recession, undue, aggressive, aggressive, lag, risk, mistakes, incorrect",-,"Phil, Camporeale, Phil, Camporeale, Camporeale, Jeremy, Siegel, Camporeale, Jeff, Gundlach",businessinsider
